OBJECTID,Codigo_Municipio,Nome_municipio,Pop_Total,Total_Respiradores,Respiradores_100mil_hab_Ind,Respiradores_SUS_100mil_hab_Ind,Total_SUS_Respiradores,Shape__Area,Shape__Length,P_Respiradores_SUS
41,1500305,Afuá,39218,0,0,0,0,0.680226939069037,4.34668143438751,0
42,2600302,Agrestina,24885,1,4.01848503114326,4.01848503114326,1,0.0164697047127049,0.740615119466117,100
43,2200103,Agricolândia,5139,0,0,0,0,0.00917865126186257,0.674671461559286,0
44,4200200,Agrolândia,10864,0,0,0,0,0.018947900798139,0.914467266188357,0
45,4200309,Agronômica,5448,0,0,0,0,0.0118467566438767,0.635565753828522,0
46,1500347,Água Azul do Norte,27430,0,0,0,0,0.581895956911012,4.63145016534244,0
47,3100609,Água Boa,13735,1,7.28066982162359,0,0,0.112651883795195,2.25987958794398,0
48,5100201,Água Boa,25721,4,15.5514948874461,11.6636211655845,3,0.628304512545981,4.89465527587101,75
49,2200202,Água Branca,17411,0,0,0,0,0.00792469380635907,0.444861169203034,0
50,2500106,Água Branca,10234,0,0,0,0,0.0193825303048811,0.742483594825693,0
51,2700102,Água Branca,20196,0,0,0,0,0.0385290365545643,1.02444717827362,0
52,5000203,Água Clara,15522,1,6.44246875402654,6.44246875402654,1,0.673939642780397,5.57377188992119,100
53,3100708,Água Comprida,1999,0,0,0,0,0.0424850100756089,1.13311711757781,0
54,4200408,Água Doce,7145,1,13.9958012596221,13.9958012596221,1,0.119258884317105,2.53935645451748,100
55,2100154,Água Doce do Maranhão,12571,0,0,0,0,0.0360581865618101,1.14319952533818,0
56,3200169,Água Doce do Norte,11019,0,0,0,0,0.0405323992662829,1.51268915606211,0
57,2900405,Água Fria,16970,0,0,0,0,0.0616368103443108,1.13086189709563,0
58,5200175,Água Fria de Goiás,5735,0,0,0,0,0.170462262261765,2.63542081916279,0
59,5200209,Água Limpa,1850,0,0,0,0,0.0386512485791854,1.26360629287414,0
60,2400406,Água Nova,3252,0,0,0,0,0.00414123222526541,0.26975669702414,0
